year,month,day,date,high,low,temp,hum,elec
2015,2,1,2015 2 1,1.9,-0.4,0.7875,75,901.09408
2015,2,2,2015 2 2,6.2,-3.9,1.7625,77.25,744.658412
2015,2,3,2015 2 3,7.8,2,4.2375,72.75,743.560438
2015,2,4,2015 2 4,8.5,-1.2,3.0375,65.875,784.915894
2015,2,5,2015 2 5,7.9,-3.6,1.8625,55.375,685.154914
2015,2,6,2015 2 6,10,-2.1,3.1125,58,767.903852
2015,2,7,2015 2 7,8.7,-1.9,4.5875,63.125,713.83984
2015,2,8,2015 2 8,3.8,-2.8,0,49,742.033737
2015,2,9,2015 2 9,6.4,-5.6,0.1625,49.75,686.187593
2015,2,10,2015 2 10,11.5,-2.8,4.35,52.875,690.788012
2015,2,11,2015 2 11,14.7,1.7,7.3875,55.25,645.277997
2015,2,12,2015 2 12,13.4,-2.2,5.5375,58.625,658.003717
2015,2,13,2015 2 13,15.4,0.7,7.05,61.625,656.227918
2015,2,14,2015 2 14,18.6,2.8,11.725,59.875,629.753896
2015,2,15,2015 2 15,12.6,10.3,11.35,95.75,668.230039
2015,2,16,2015 2 16,12.9,4.5,8.8625,90,642.687362
2015,2,17,2015 2 17,15.4,0.9,7.625,71.875,790.686937
2015,2,18,2015 2 18,9.1,2.2,5.4,69,1073.012036
2015,2,19,2015 2 19,10.9,0.2,5.825,66,900.201077
2015,2,20,2015 2 20,6.1,4.2,5.25,96.625,969.451359
2015,2,21,2015 2 21,5.8,1.9,4.2125,91.875,951.247878
2015,2,22,2015 2 22,7,-0.9,3.825,93.125,905.246566
2015,2,23,2015 2 23,10.2,2.6,6.6,81.5,849.635809
2015,2,24,2015 2 24,13.1,2.3,7.85,83.125,696.513674
2015,2,25,2015 2 25,11.8,7.6,9.05,86.625,605.379382
2015,2,26,2015 2 26,11.6,5.5,8.7625,58.75,624.837684
2015,2,27,2015 2 27,6.8,1.9,4.9875,73.125,651.562828
2015,2,28,2015 2 28,2.3,0.1,1.1625,91.625,802.149477
2015,3,1,2015 3 1,11.1,-0.2,4.725,78.625,672.750591
2015,3,2,2015 3 2,10.9,2.6,7.1625,75.875,599.54934
2015,3,3,2015 3 3,10.9,5.2,8.4,54.5,632.67802
2015,3,4,2015 3 4,4.8,0.3,2.35,52,709.072067
2015,3,5,2015 3 5,5,1.1,3.0875,61.625,898.218489
2015,3,6,2015 3 6,7.1,-0.3,3.9125,76,735.691214
2015,3,7,2015 3 7,10.6,0.2,5.775,79.5,659.403735
2015,3,8,2015 3 8,11.8,2.7,7.0625,81.25,587.018939
2015,3,9,2015 3 9,11.9,2.7,6.2,79.5,576.210383
2015,3,10,2015 3 10,7.1,-0.2,3.3125,51.625,669.693258
2015,3,11,2015 3 11,12.5,-1.1,6.0125,60.25,597.007638
2015,3,12,2015 3 12,17.4,1.9,9.875,69.125,545.556447
2015,3,13,2015 3 13,18,5.8,11.6625,78.125,516.046998
2015,3,14,2015 3 14,12.3,6.4,9.1375,75.125,547.439268
2015,3,15,2015 3 15,13.8,4.3,9.8625,88.375,530.758116
2015,3,16,2015 3 16,15.5,10.6,12.275,89.75,508.614763
2015,3,17,2015 3 17,13.5,10.1,12.1,98.875,505.827408
2015,3,18,2015 3 18,10.5,8,9.2625,96.25,531.971858
2015,3,19,2015 3 19,12.9,7.6,10.325,89.375,500.49732
2015,3,20,2015 3 20,17.2,7.6,12.4875,81.5,543.314169
2015,3,21,2015 3 21,20.1,8.5,14.25,81.875,550.280971
2015,3,22,2015 3 22,21.4,8.4,14.6875,74.25,531.258008
2015,3,23,2015 3 23,14.1,7.9,10.525,74.875,466.744173
2015,3,24,2015 3 24,16.5,6.1,10.7125,66.375,493.706983
2015,3,25,2015 3 25,17.7,7.8,12.114286,56.428571,472.05969
2015,3,26,2015 3 26,14.8,8.4,11.375,70.75,492.544937
2015,3,27,2015 3 27,17.3,10.3,12.9,82.25,502.994799
